protocol_id,implementation,width,direction,method,evidence_class,cases,cycles,primitive_operations,nand_evaluations,support_status,notes
PAH-BUILD002-CONF0001,BIN-FU,4,INGRESS,DIRECT_W_BIT_WORD,STRUCTURAL_DECLARED_BOUNDARY,16,16,0,0,FULL_BINARY,Direct nets use no combinational gates; equal registered boundaries remain charged in integrated static rows.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,INGRESS,BINARY_MAGNITUDE_TO_EXACT_S4,STRUCTURAL_DECLARED,16,16,16,2800,EXACT_CATALOG_VALUATIONS_SUPPORT_TAGGED,The adapter reports whether the magnitude is fully S4-supported; unsupported cofactors are not silently encoded.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,EGRESS,S4_STATE_TO_BINARY_MAGNITUDE,STRUCTURAL_DECLARED,14,14,14,14294,FULL_EXACT_COMMON_W_BIT_DOMAIN,"Malformed, saturated, noncanonical-zero, and out-of-range products are explicit rejection statuses."
PAH-BUILD002-CONF0001,BIN+VSC-S4,4,INGRESS,EXACT_THRESHOLD_SIDECAR_ENCODE,STRUCTURAL_DECLARED_INTEGRATED,16,16,16,36912,FULL_BINARY_TO_EXACT_S4_INTEGRATED_LOAD,Every W-bit magnitude is acquired by the integrated NAND LOAD path; authoritative magnitude and exact sidecar state update together.
PAH-BUILD002-CONF0001,BIN-FU,6,INGRESS,DIRECT_W_BIT_WORD,STRUCTURAL_DECLARED_BOUNDARY,64,64,0,0,FULL_BINARY,Direct nets use no combinational gates; equal registered boundaries remain charged in integrated static rows.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,INGRESS,BINARY_MAGNITUDE_TO_EXACT_S4,STRUCTURAL_DECLARED,64,64,64,61696,EXACT_CATALOG_VALUATIONS_SUPPORT_TAGGED,The adapter reports whether the magnitude is fully S4-supported; unsupported cofactors are not silently encoded.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,EGRESS,S4_STATE_TO_BINARY_MAGNITUDE,STRUCTURAL_DECLARED,36,36,36,220608,FULL_EXACT_COMMON_W_BIT_DOMAIN,"Malformed, saturated, noncanonical-zero, and out-of-range products are explicit rejection statuses."
PAH-BUILD002-CONF0001,BIN+VSC-S4,6,INGRESS,EXACT_THRESHOLD_SIDECAR_ENCODE,STRUCTURAL_DECLARED_INTEGRATED,64,64,64,360832,FULL_BINARY_TO_EXACT_S4_INTEGRATED_LOAD,Every W-bit magnitude is acquired by the integrated NAND LOAD path; authoritative magnitude and exact sidecar state update together.
PAH-BUILD002-CONF0001,BIN-FU,8,INGRESS,DIRECT_W_BIT_WORD,STRUCTURAL_DECLARED_BOUNDARY,256,256,0,0,FULL_BINARY,Direct nets use no combinational gates; equal registered boundaries remain charged in integrated static rows.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,INGRESS,BINARY_MAGNITUDE_TO_EXACT_S4,STRUCTURAL_DECLARED,256,256,256,1225216,EXACT_CATALOG_VALUATIONS_SUPPORT_TAGGED,The adapter reports whether the magnitude is fully S4-supported; unsupported cofactors are not silently encoded.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,EGRESS,S4_STATE_TO_BINARY_MAGNITUDE,STRUCTURAL_DECLARED,77,77,77,1412411,FULL_EXACT_COMMON_W_BIT_DOMAIN,"Malformed, saturated, noncanonical-zero, and out-of-range products are explicit rejection statuses."
PAH-BUILD002-CONF0001,BIN+VSC-S4,8,INGRESS,EXACT_THRESHOLD_SIDECAR_ENCODE,STRUCTURAL_DECLARED_INTEGRATED,256,256,256,4062976,FULL_BINARY_TO_EXACT_S4_INTEGRATED_LOAD,Every W-bit magnitude is acquired by the integrated NAND LOAD path; authoritative magnitude and exact sidecar state update together.
