protocol_id,width,representation,evidence_class,magnitude_bits,exponent_or_threshold_bits,tag_bits,total_state_bits,representable_payload_states,native_cheap_operations,dominant_cost,notes
PAH-BUILD002-CONF0001,4,BINARY_POSITIONAL,ANALYTIC_EXACT_GEOMETRY,4,0,0,4,16,ADD;SUBTRACT;COMPARE;SHIFT,MULTIPLICATIVE_STRUCTURE_NOT_LOCAL,Authoritative magnitude baseline.
PAH-BUILD002-CONF0001,4,BINARY_EXPONENT_S4,ANALYTIC_EXACT_GEOMETRY,0,6,5,11,48,COMPOSE;CANCEL;MEET;JOIN;DIVIDES,CARRIES_WITHIN_LANES_AND_ADAPTERS,Tag bits are zero plus four per-lane saturation flags.
PAH-BUILD002-CONF0001,4,THERMOMETER_S4,ANALYTIC_EXACT_GEOMETRY,0,7,5,12,48,MEET;JOIN;DIVIDES;THRESHOLD_QUERY,COMPOSE_CONVOLUTION_AND_STATE_BITS,Canonical states form products of finite chains; malformed threshold strings are excluded.
PAH-BUILD002-CONF0001,4,PRESENCE_ONLY_S4,STRUCTURAL_DECLARED_LOSSY_CONTROL,0,4,1,5,16,PRIME_PRESENCE_QUERY,LOSES_MULTIPLICITY,Implemented binary-exponent and thermometer projections are reported in static_costs.csv; neither is equivalent to valuation state.
PAH-BUILD002-CONF0001,4,BINARY_PLUS_EXACT_THRESHOLD_SIDECAR_S4,ANALYTIC_EXACT_GEOMETRY,4,7,1,12,16,WARM_DIVISIBILITY;VALUATION_LOWER_BOUNDS,STATIC_OVERHEAD_AND_REFRESH,Magnitude is authoritative; valid is one explicit bit and zero is encoded in magnitude.
PAH-BUILD002-CONF0001,6,BINARY_POSITIONAL,ANALYTIC_EXACT_GEOMETRY,6,0,0,6,64,ADD;SUBTRACT;COMPARE;SHIFT,MULTIPLICATIVE_STRUCTURE_NOT_LOCAL,Authoritative magnitude baseline.
PAH-BUILD002-CONF0001,6,BINARY_EXPONENT_S4,ANALYTIC_EXACT_GEOMETRY,0,9,5,14,216,COMPOSE;CANCEL;MEET;JOIN;DIVIDES,CARRIES_WITHIN_LANES_AND_ADAPTERS,Tag bits are zero plus four per-lane saturation flags.
PAH-BUILD002-CONF0001,6,THERMOMETER_S4,ANALYTIC_EXACT_GEOMETRY,0,12,5,17,216,MEET;JOIN;DIVIDES;THRESHOLD_QUERY,COMPOSE_CONVOLUTION_AND_STATE_BITS,Canonical states form products of finite chains; malformed threshold strings are excluded.
PAH-BUILD002-CONF0001,6,PRESENCE_ONLY_S4,STRUCTURAL_DECLARED_LOSSY_CONTROL,0,4,1,5,16,PRIME_PRESENCE_QUERY,LOSES_MULTIPLICITY,Implemented binary-exponent and thermometer projections are reported in static_costs.csv; neither is equivalent to valuation state.
PAH-BUILD002-CONF0001,6,BINARY_PLUS_EXACT_THRESHOLD_SIDECAR_S4,ANALYTIC_EXACT_GEOMETRY,6,12,1,19,64,WARM_DIVISIBILITY;VALUATION_LOWER_BOUNDS,STATIC_OVERHEAD_AND_REFRESH,Magnitude is authoritative; valid is one explicit bit and zero is encoded in magnitude.
PAH-BUILD002-CONF0001,8,BINARY_POSITIONAL,ANALYTIC_EXACT_GEOMETRY,8,0,0,8,256,ADD;SUBTRACT;COMPARE;SHIFT,MULTIPLICATIVE_STRUCTURE_NOT_LOCAL,Authoritative magnitude baseline.
PAH-BUILD002-CONF0001,8,BINARY_EXPONENT_S4,ANALYTIC_EXACT_GEOMETRY,0,10,5,15,576,COMPOSE;CANCEL;MEET;JOIN;DIVIDES,CARRIES_WITHIN_LANES_AND_ADAPTERS,Tag bits are zero plus four per-lane saturation flags.
PAH-BUILD002-CONF0001,8,THERMOMETER_S4,ANALYTIC_EXACT_GEOMETRY,0,17,5,22,576,MEET;JOIN;DIVIDES;THRESHOLD_QUERY,COMPOSE_CONVOLUTION_AND_STATE_BITS,Canonical states form products of finite chains; malformed threshold strings are excluded.
PAH-BUILD002-CONF0001,8,PRESENCE_ONLY_S4,STRUCTURAL_DECLARED_LOSSY_CONTROL,0,4,1,5,16,PRIME_PRESENCE_QUERY,LOSES_MULTIPLICITY,Implemented binary-exponent and thermometer projections are reported in static_costs.csv; neither is equivalent to valuation state.
PAH-BUILD002-CONF0001,8,BINARY_PLUS_EXACT_THRESHOLD_SIDECAR_S4,ANALYTIC_EXACT_GEOMETRY,8,17,1,26,256,WARM_DIVISIBILITY;VALUATION_LOWER_BOUNDS,STATIC_OVERHEAD_AND_REFRESH,Magnitude is authoritative; valid is one explicit bit and zero is encoded in magnitude.
