protocol_id,implementation,width,operation,operation_class,regime,output_obligation,evidence_class,support_status,cases,instructions,cycles,nand_evaluations,nand_output_transitions,state_bit_transitions,input_bit_transitions,initial_nand_transitions,rejections,encodes,reconstructs,refreshes,notes
PAH-BUILD002-CONF0001,BIN-FU,4,MULTIPLY,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FULL_2W_PRODUCT,256,256,256,131072,14512,0,502,336,0,0,0,0,Operand loading and result registers are not included in this operation-specific row.
PAH-BUILD002-CONF0001,BIN-DIV,4,DIVIDE_AND_EXACT,BINARY_MAGNITUDE_LOCAL,COLD_MAG,PREDICATE_ONLY,STRUCTURAL_DECLARED,FULL_BINARY,256,256,256,127232,27637,0,502,345,0,0,0,0,Full quotient/remainder/status circuit is charged even though only exactness is required.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,COMPOSE,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,196,146608,20082,0,566,458,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-THERM-S4,4,COMPOSE,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,196,59584,7256,0,626,190,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,MEET,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,196,130732,16699,0,566,408,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,JOIN,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,196,130928,18276,0,566,408,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,DIVIDES,REPRESENTATION_LOCAL,WARM_RESIDENT,PREDICATE_ONLY,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,196,117404,15458,0,566,370,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,ENCODE,REQUIRES_FACTOR_DISCOVERY,COLD_MAG,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,EXACT_CATALOG_VALUATIONS_SUPPORT_TAGGED,16,16,16,2800,602,0,26,102,0,0,0,0,Runtime is an emitted NAND truth-table adapter; construction-time arithmetic only selects fixed minterms.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,4,RECONSTRUCT,CROSS_REPRESENTATION,WARM_RESIDENT,MAGNITUDE_FINAL,STRUCTURAL_DECLARED,FULL_EXACT_COMMON_W_BIT_DOMAIN,14,14,14,14294,2508,0,36,599,0,0,0,0,Every common-domain exact state is reconstructed; malformed/saturated/overflow rejection is tested separately.
PAH-BUILD002-CONF0001,BIN-GCD,4,GCD,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,SEMANTIC_STEP_PLUS_STRUCTURAL_DECLARED,FULL_BINARY_TRANSITIONS_NOT_MEASURED,256,256,1618,695740,-1,-1,-1,-1,0,0,0,0,Cycles execute the exhaustively checked NAND transition; settled transition totals were not replayed end-to-end.
PAH-BUILD002-CONF0001,BIN-GCD+DIV+MUL,4,LCM,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,COMPOSITE_STRUCTURAL_DECLARED,FULL_BINARY_2W_RESULT_TRANSITIONS_NOT_MEASURED,256,256,2068,922765,-1,-1,-1,-1,0,0,0,0,"LCM uses checked GCD, exact division, and full 2W multiplication; composite controller transitions are not claimed."
PAH-BUILD002-CONF0001,BIN+VSC-S4,4,ENCODE_LOAD,REQUIRES_FACTOR_DISCOVERY,COLD_MAG,STRUCTURAL_FINAL,STRUCTURAL_DECLARED_INTEGRATED,FULL_BINARY_TO_EXACT_S4,16,16,16,36912,2135,0,27,1467,0,0,0,0,The integrated load truth table acquires authoritative magnitude and exact S4 thresholds in one cycle.
PAH-BUILD002-CONF0001,BIN+VSC-S4,4,VALUATION_THRESHOLD_QUERY,REPRESENTATION_LOCAL,WARM_RESIDENT,PREDICATE_ONLY,STRUCTURAL_DECLARED_INTEGRATED,FULL_BINARY_MAGNITUDE_EXACT_S4_SIDECAR,112,112,112,258384,18544,83,224,1460,0,0,0,0,Every supported S4 threshold query is executed from every exact W-bit resident state; state is held.
PAH-BUILD002-CONF0001,BIN-FU,6,MULTIPLY,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FULL_2W_PRODUCT,4096,4096,4096,4718592,513314,0,8178,756,0,0,0,0,Operand loading and result registers are not included in this operation-specific row.
PAH-BUILD002-CONF0001,BIN-DIV,6,DIVIDE_AND_EXACT,BINARY_MAGNITUDE_LOCAL,COLD_MAG,PREDICATE_ONLY,STRUCTURAL_DECLARED,FULL_BINARY,4096,4096,4096,4182016,648768,0,8178,709,0,0,0,0,Full quotient/remainder/status circuit is charged even though only exactness is required.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,COMPOSE,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,1296,1296,1296,1342656,156177,0,4436,641,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-THERM-S4,6,COMPOSE,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,1296,1296,1296,672624,81083,0,5840,323,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,MEET,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,1296,1296,1296,1210464,128757,0,4436,575,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,JOIN,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,1296,1296,1296,1211760,140916,0,4436,575,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,DIVIDES,REPRESENTATION_LOCAL,WARM_RESIDENT,PREDICATE_ONLY,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,1296,1296,1296,1067904,114200,0,4436,513,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,ENCODE,REQUIRES_FACTOR_DISCOVERY,COLD_MAG,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,EXACT_CATALOG_VALUATIONS_SUPPORT_TAGGED,64,64,64,61696,8298,0,120,538,0,0,0,0,Runtime is an emitted NAND truth-table adapter; construction-time arithmetic only selects fixed minterms.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,6,RECONSTRUCT,CROSS_REPRESENTATION,WARM_RESIDENT,MAGNITUDE_FINAL,STRUCTURAL_DECLARED,FULL_EXACT_COMMON_W_BIT_DOMAIN,36,36,36,220608,32944,0,118,3508,0,0,0,0,Every common-domain exact state is reconstructed; malformed/saturated/overflow rejection is tested separately.
PAH-BUILD002-CONF0001,BIN-GCD,6,GCD,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,SEMANTIC_STEP_PLUS_STRUCTURAL_DECLARED,FULL_BINARY_TRANSITIONS_NOT_MEASURED,4096,4096,52078,33121608,-1,-1,-1,-1,0,0,0,0,Cycles execute the exhaustively checked NAND transition; settled transition totals were not replayed end-to-end.
PAH-BUILD002-CONF0001,BIN-GCD+DIV+MUL,6,LCM,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,COMPOSITE_STRUCTURAL_DECLARED,FULL_BINARY_2W_RESULT_TRANSITIONS_NOT_MEASURED,4096,4096,60016,41746245,-1,-1,-1,-1,0,0,0,0,"LCM uses checked GCD, exact division, and full 2W multiplication; composite controller transitions are not claimed."
PAH-BUILD002-CONF0001,BIN+VSC-S4,6,ENCODE_LOAD,REQUIRES_FACTOR_DISCOVERY,COLD_MAG,STRUCTURAL_FINAL,STRUCTURAL_DECLARED_INTEGRATED,FULL_BINARY_TO_EXACT_S4,64,64,64,360832,15826,0,121,3489,0,0,0,0,The integrated load truth table acquires authoritative magnitude and exact S4 thresholds in one cycle.
